#PDB-name             KORP_energy
T0860D1              -2963.319597
T0860D1_s026m1       -1003.358132
T0860D1_s119m1       -2393.256655
T0860D1_s180m2       -1218.997940
T0860D1_s180m3        -646.485603
T0860D1_s180m4        -958.418607
T0860D1_s183m4       -1442.320069
T0860D1_s284m3        -955.028101
T0860D1_s284m4        -999.305379
T0860D1_s321m1       -1231.413339
T0860D1_s451m3        -549.221697
T0860D1_s455m1       -1197.747147
T0860D1_s455m2        -601.213300
T0860D1_s455m3        -696.047931
T0860D1_s455m5        -617.773548
T0860D1_s464m2        -712.011981
T0860D1_s464m5       -1013.805141
T0860D1_s467m1       -1689.199376
T0860D1_s467m5       -1157.375782
T0861D1              -7839.779314
T0861D1_s180m5       -2325.623127
T0861D1_s236m4       -8379.175078
T0861D1_s321m1       -2307.026409
T0861D1_s321m2       -2246.682195
T0861D1_s321m3       -2300.504023
T0861D1_s321m4       -2208.908593
T0861D1_s321m5       -2334.891080
T0861D1_s432m1       -5489.381633
T0861D1_s432m2       -5202.524232
T0861D1_s432m3       -5091.990725
T0861D1_s432m4       -5139.576075
T0861D1_s432m5       -4746.497280
T0861D1_s434m1       -2593.574764
T0861D1_s434m2       -2456.615894
T0861D1_s434m3       -2195.574304
T0861D1_s434m4       -1984.055857
T0861D1_s434m5       -2403.286661
T0861D1_s451m1       -2900.341427
T0861D1_s464m2       -3296.590093
T0861D1_s464m5       -2992.511506
T0865D1               -904.606221
T0865D1_s180m1        -895.326670
T0865D1_s180m3        -685.781474
T0865D1_s183m5        -979.079910
T0865D1_s251m1       -1173.746259
T0865D1_s258m4        -268.620269
T0865D1_s258m5         459.595022
T0865D1_s275m1        -797.562160
T0865D1_s359m2        -881.742194
T0865D1_s432m3       -1023.414495
T0865D1_s434m4        -816.539726
T0865D1_s451m4        -866.575110
T0865D1_s452m4        -890.757308
T0865D1_s455m1        -421.130062
T0865D1_s455m2        -417.090235
T0865D1_s455m3        -563.450165
T0865D1_s455m4        -532.204115
T0865D1_s455m5        -647.413576
T0865D1_s467m1       -1207.494471
T0865D1_s479m1        -879.812781
T0865D1_s479m2       -1094.498919
T0868D1              -2473.104307
T0868D1_s017m5       -1460.430188
T0868D1_s179m5       -1318.197597
T0868D1_s251m3       -1362.096040
T0868D1_s287m5       -1457.059932
T0868D1_s382m4        -645.934627
T0868D1_s420m2       -1272.696360
T0868D1_s420m4       -1192.576346
T0868D1_s420m5       -1241.958995
T0868D1_s452m3       -1314.304654
T0868D1_s452m4        -872.064969
T0868D1_s452m5       -1252.833328
T0868D1_s455m1        -290.952226
T0868D1_s455m2        -411.777244
T0868D1_s455m3        -886.881169
T0868D1_s455m4        -970.528045
T0868D1_s455m5        -480.088416
T0868D1_s464m2        -818.563094
T0868D1_s464m4        -771.552801
T0871D1              -6379.837940
T0871D1_s321m1       -2257.259108
T0871D1_s321m2       -2653.307429
T0871D1_s321m3       -2102.371662
T0871D1_s321m4       -2459.229981
T0871D1_s321m5       -2263.954909
T0871D1_s425m2       -4243.135835
T0871D1_s432m1       -3833.566873
T0871D1_s432m3       -3572.484562
T0871D1_s434m1       -2521.745786
T0871D1_s434m2       -2478.711799
T0871D1_s434m3       -2597.463612
T0871D1_s434m4       -2504.354532
T0871D1_s434m5       -2292.236845
T0871D1_s451m1       -2470.564888
T0871D1_s451m2       -2243.141019
T0871D1_s451m5       -2203.281412
T0871D1_s455m5       -1661.225312
T0871D1_s464m2       -1927.417301
T0871D1_s464m5       -1967.679799
T0871D1_s467m4       -3161.071355
T0872D1              -2223.810345
T0872D1_s180m5        -276.202497
T0872D1_s220m5       -1256.279606
T0872D1_s287m1       -1453.648803
T0872D1_s321m1        -799.350543
T0872D1_s420m2       -1192.198059
T0872D1_s420m3       -1348.131838
T0872D1_s420m5        -648.503880
T0872D1_s434m2        -512.474942
T0872D1_s434m3        -597.677427
T0872D1_s434m4        -495.611914
T0872D1_s451m5        -471.108358
T0872D1_s455m1        -651.932286
T0872D1_s455m2        -300.923133
T0872D1_s455m3        -550.869881
T0872D1_s455m4        -432.342138
T0872D1_s455m5        -396.654944
T0872D1_s464m2        -624.261870
T0872D1_s464m5        -537.315335
T0873D1              -12297.619657
T0873D1_s180m4       -3104.083656
T0873D1_s180m5       -1483.668995
T0873D1_s321m1       -3061.409490
T0873D1_s321m2       -3392.095999
T0873D1_s321m4       -3216.305667
T0873D1_s321m5       -3277.082927
T0873D1_s405m3       -9730.543924
T0873D1_s432m4       -4261.982612
T0873D1_s434m1       -3560.475577
T0873D1_s434m2       -3380.157574
T0873D1_s434m3       -3131.788656
T0873D1_s434m4       -3504.997446
T0873D1_s434m5       -3351.399006
T0873D1_s451m2       -3209.152755
T0873D1_s455m3       -2576.306750
T0873D1_s455m5       -2311.131044
T0873D1_s464m2       -2450.370424
T0873D1_s464m5        -416.184316
T0873D1_s467m4       -4668.074971
T0873D1_s467m5       -4372.310549
T0879D1              -5409.364171
T0879D1_s026m4       -2607.299151
T0879D1_s287m1       -4308.661330
T0879D1_s321m1       -1514.382304
T0879D1_s321m2       -1854.443477
T0879D1_s321m3       -1423.916873
T0879D1_s321m4       -1364.067346
T0879D1_s321m5       -1358.912389
T0879D1_s382m1       -1729.324817
T0879D1_s382m3       -2102.853009
T0879D1_s434m1       -1573.385098
T0879D1_s434m2       -1879.432732
T0879D1_s434m3       -1532.968708
T0879D1_s434m4       -1941.467743
T0879D1_s434m5       -1712.539818
T0879D1_s455m1       -1042.587973
T0879D1_s455m2        -699.825793
T0879D1_s455m3       -1144.924669
T0879D1_s455m4       -2101.753037
T0879D1_s464m2       -1798.559020
T0879D1_s464m5        -975.796179
T0889D1              -6200.507196
T0889D1_s180m5       -2886.183454
T0889D1_s236m3       -6721.088735
T0889D1_s321m1       -2049.065978
T0889D1_s321m2       -2235.869795
T0889D1_s321m3       -2189.726766
T0889D1_s321m4       -2268.294757
T0889D1_s321m5       -2054.128197
T0889D1_s434m1       -2682.272189
T0889D1_s434m2       -2351.987038
T0889D1_s434m3       -2485.128090
T0889D1_s434m4       -2285.092486
